Price,Close,High,Low,Open,Volume,Symbol,Daily_Change_Pct,5_Day_MA
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,
Date,,,,,,,,
2025-03-17,388.70001220703125,392.7099914550781,385.57000732421875,386.70001220703125,22474300,NYSE:MSFT,,
2025-03-18,383.5199890136719,387.3699951171875,381.1000061035156,387.07000732421875,19486900,NYSE:MSFT,-1.3326532108777878,
2025-03-19,387.82000732421875,389.67999267578125,384.0,385.5299987792969,19185500,NYSE:MSFT,1.1211979645716852,
2025-03-20,386.8399963378906,391.7900085449219,383.2799987792969,385.739990234375,18470500,NYSE:MSFT,-0.25269737708730755,
2025-03-21,391.260009765625,391.739990234375,382.79998779296875,383.2200012207031,39675900,NYSE:MSFT,1.142594734147817,387.6280029296875
2025-03-24,393.0799865722656,395.3999938964844,389.80999755859375,395.3999938964844,21004500,NYSE:MSFT,0.4651578902047371,388.5039978027344
2025-03-25,395.1600036621094,396.3599853515625,392.6400146484375,393.9200134277344,15775000,NYSE:MSFT,0.5291587363635442,390.8320007324219
2025-03-26,389.9700012207031,395.30999755859375,388.57000732421875,395.0,16108400,NYSE:MSFT,-1.3133926493846482,391.2619995117187
2025-03-27,390.5799865722656,392.239990234375,387.3999938964844,390.1300048828125,13766800,NYSE:MSFT,0.15641853210581758,392.00999755859374
2025-03-28,378.79998779296875,389.1300048828125,376.92999267578125,388.0799865722656,21632000,NYSE:MSFT,-3.0160272375136965,389.5179931640625
2025-03-31,375.3900146484375,377.07000732421875,367.239990234375,372.5400085449219,35184700,NYSE:MSFT,-0.9002041326344856,385.97999877929686
2025-04-01,382.19000244140625,382.8500061035156,373.2300109863281,374.6499938964844,19689500,NYSE:MSFT,1.8114461034178353,383.38599853515626
2025-04-02,382.1400146484375,385.0799865722656,376.6199951171875,377.9700012207031,16092600,NYSE:MSFT,-0.013079304181018436,381.82000122070315
2025-04-03,373.1099853515625,377.4800109863281,369.3500061035156,374.7900085449219,30198000,NYSE:MSFT,-2.363015897506171,378.3260009765625
2025-04-04,359.8399963378906,374.5899963378906,359.4800109863281,364.1300048828125,49209900,NYSE:MSFT,-3.5565890848963,374.53400268554685
2025-04-07,357.8599853515625,371.0,344.7900085449219,350.8800048828125,50425000,NYSE:MSFT,-0.5502476118493749,371.0279968261719
2025-04-08,354.55999755859375,373.6499938964844,350.25,368.260009765625,35868900,NYSE:MSFT,-0.9221449527884062,365.5019958496094
2025-04-09,390.489990234375,393.2300109863281,353.1000061035156,353.5400085449219,50199700,NYSE:MSFT,10.133684827162014,367.1719909667969
2025-04-10,381.3500061035156,383.8999938964844,367.79998779296875,382.05999755859375,38024400,NYSE:MSFT,-2.3406449229014803,368.8199951171875
2025-04-11,388.45001220703125,390.04998779296875,378.8900146484375,380.6400146484375,23839200,NYSE:MSFT,1.8618083099199767,374.5419982910156
2025-04-14,387.80999755859375,394.6499938964844,384.2099914550781,393.2200012207031,19251200,NYSE:MSFT,-0.1647611348500555,380.53200073242186
2025-04-15,385.7300109863281,391.8900146484375,384.2099914550781,388.5050048828125,17074637,NYSE:MSFT,-0.5363416583790803,386.76600341796876
