Price,Close,High,Low,Open,Volume,Symbol,Daily_Change_Pct,5_Day_MA
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,
Date,,,,,,,,
2025-03-17,119.52999877929688,122.88999938964844,118.02999877929688,122.73999786376953,255501500,NASDAQ:NVDA,,
2025-03-18,115.43000030517578,119.0199966430664,114.54000091552734,118.0,299686900,NASDAQ:NVDA,-3.4300999882811323,
2025-03-19,117.5199966430664,120.44999694824219,115.68000030517578,117.2699966430664,273426200,NASDAQ:NVDA,1.8106179783115905,
2025-03-20,118.52999877929688,120.19999694824219,116.47000122070312,116.55000305175781,248829700,NASDAQ:NVDA,0.8594300247455555,
2025-03-21,117.69999694824219,117.98999786376953,115.41999816894531,116.94000244140625,266498500,NASDAQ:NVDA,-0.70024621581255,117.74199829101562
2025-03-24,121.41000366210938,122.22000122070312,119.33999633789062,119.87999725341797,228452500,NASDAQ:NVDA,3.152087349244903,118.11799926757813
2025-03-25,120.69000244140625,121.29000091552734,118.91999816894531,120.55000305175781,167447200,NASDAQ:NVDA,-0.5930328630142645,119.16999969482421
2025-03-26,113.76000213623047,118.83999633789062,112.70999908447266,118.7300033569336,293463300,NASDAQ:NVDA,-5.741983731038724,118.41800079345703
2025-03-27,111.43000030517578,114.44999694824219,110.66000366210938,111.3499984741211,236902100,NASDAQ:NVDA,-2.0481731604263254,116.99800109863281
2025-03-28,109.66999816894531,112.87000274658203,109.06999969482422,111.48999786376953,229872500,NASDAQ:NVDA,-1.5794688426907566,115.39200134277344
2025-03-31,108.37999725341797,110.95999908447266,103.6500015258789,105.12999725341797,299212700,NASDAQ:NVDA,-1.1762568952906505,112.78600006103515
2025-04-01,110.1500015258789,110.19999694824219,106.47000122070312,108.5199966430664,222614000,NASDAQ:NVDA,1.6331466297440977,110.6779998779297
2025-04-02,110.41999816894531,111.9800033569336,106.79000091552734,107.29000091552734,220601200,NASDAQ:NVDA,0.2451172395153911,110.00999908447265
2025-04-03,101.80000305175781,105.62999725341797,101.5999984741211,103.51000213623047,338769400,NASDAQ:NVDA,-7.806552490608354,108.08399963378906
2025-04-04,94.30999755859375,100.12999725341797,92.11000061035156,98.91000366210938,532273800,NASDAQ:NVDA,-7.357569026158028,105.01199951171876
2025-04-07,97.63999938964844,101.75,86.62000274658203,87.45999908447266,611041300,NASDAQ:NVDA,3.530910738265902,102.86399993896484
2025-04-08,96.30000305175781,105.8499984741211,94.45999908447266,103.80999755859375,476243400,NASDAQ:NVDA,-1.3723846233787307,100.09400024414063
2025-04-09,114.33000183105469,115.0999984741211,97.52999877929688,98.88999938964844,612918300,NASDAQ:NVDA,18.722739572091605,100.8760009765625
2025-04-10,107.56999969482422,110.86000061035156,99.1500015258789,109.37000274658203,437812400,NASDAQ:NVDA,-5.912710599112659,102.03000030517578
2025-04-11,110.93000030517578,111.55000305175781,107.4800033569336,108.5,313417300,NASDAQ:NVDA,3.123548033730472,105.35400085449218
2025-04-14,110.70999908447266,114.29000091552734,109.06999969482422,114.11000061035156,264705000,NASDAQ:NVDA,-0.19832436680599086,107.96800079345704
2025-04-15,112.19999694824219,113.61499786376953,110.5,110.97000122070312,211050923,NASDAQ:NVDA,1.3458566309197062,111.1479995727539
